City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
400,envira,-7.3,-70.2167,296.25,98,95,1.09,BR,1697153467
401,ca mau,9.1769,105.15,299.55,87,100,0.98,VN,1697153468
402,bopolu,7.0667,-10.4875,295.3,99,52,0.52,LR,1697153468
403,ulaangom,49.9811,92.0667,279.73,68,43,0.86,MN,1697153469
404,tolanaro,-25.0319,46.9987,294.19,94,75,5.14,MG,1697153470
405,nadvoitsy,63.8667,34.3167,277.08,78,100,7.01,RU,1697153470
406,la pineda,41.0762,1.1852,293.33,90,20,3.09,ES,1697153472
407,manokwari,-0.8667,134.0833,301.55,70,86,0.66,ID,1697153472
408,nuku'alofa,-21.1333,-175.2,299.34,65,40,5.14,TO,1697153473
409,mboursou lere,9.7639,14.1539,298.78,64,75,0.64,TD,1697153474
410,zhaodong,46.0833,125.9833,287.21,48,0,2.76,CN,1697153474
411,ogdensburg,44.6942,-75.4863,281.66,72,0,2.06,US,1697153475
412,tamanrasset,22.785,5.5228,296.1,25,40,4.12,DZ,1697153476
413,bandarbeyla,9.4942,50.8122,298.96,87,7,1.39,SO,1697153476
414,essaouira,31.5125,-9.77,292.87,48,12,1.54,MA,1697153477
415,boryeong,36.3493,126.5977,287.13,63,100,0.95,KR,1697153479
416,rice lake,45.5061,-91.7382,285.97,59,0,5.66,US,1697153289
417,poronaysk,49.2167,143.1167,282.75,67,1,1.05,RU,1697153480
418,urzhar,47.093,81.6294,288.13,38,91,1.67,KZ,1697153480
419,goba,7.0167,39.9833,283.48,88,75,0.52,ET,1697153481
420,paraiso,9.8383,-83.8656,293.94,98,100,0.23,CR,1697153482
421,torbat-e heydariyeh,35.274,59.2195,285.3,66,91,2.68,IR,1697153482
422,lata,40.1629,-8.3327,292.64,52,41,1.02,PT,1697153483
423,azul,-36.777,-59.8585,281.53,55,36,3.52,AR,1697153484
424,kapoeta,4.7717,33.5903,299.09,59,95,0.27,SS,1697153484
425,rusape,-18.5278,32.1284,293.69,37,74,4.69,ZW,1697153485
426,sao gabriel da cachoeira,-0.1303,-67.0892,300.52,70,99,0.84,BR,1697153324
427,varzea da palma,-17.5981,-44.7308,303.17,34,9,0.27,BR,1697153486
428,igarka,67.4667,86.5833,274.22,99,100,2.88,RU,1697153487
429,lihue,21.9789,-159.3672,302.73,62,0,6.17,US,1697153488
430,troitskaya,43.3056,44.9789,281.02,43,3,3.13,RU,1697153488
431,port macquarie,-31.4333,152.9167,296.42,32,16,4.56,AU,1697153489
432,mata-utu,-13.2816,-176.1745,300.72,80,92,7.24,WF,1697153490
433,rengasdengklok,-6.1592,107.2981,300.22,65,100,1.86,ID,1697153490
434,surin,14.8818,103.4936,297.36,92,86,3.02,TH,1697153491
435,charters towers,-20.1,146.2667,300.12,31,7,3.57,AU,1697153492
436,bourbourg,50.9478,2.1958,290.38,93,100,5.44,FR,1697153492
437,parsippany,40.8579,-74.426,291.57,71,20,1.54,US,1697153462
